幣別,現今本行買入,現今本行賣出,即期匯率-本行買入, 即期匯率-本行賣出
"美金 (USD)
                            

                                美金 (USD)",31.89,32.56,32.215,32.365
"港幣 (HKD)
                            

                                港幣 (HKD)",3.964,4.168,4.085,4.155
"英鎊 (GBP)
                            

                                英鎊 (GBP)",39.02,41.14,39.915,40.545
"澳幣 (AUD)
                            

                                澳幣 (AUD)",20.49,21.27,20.705,21.05
"加拿大幣 (CAD)
                            

                                加拿大幣 (CAD)",22.96,23.87,23.29,23.62
"新加坡幣 (SGD)
                            

                                新加坡幣 (SGD)",23.14,24.05,23.61,23.83
"瑞士法郎 (CHF)
                            

                                瑞士法郎 (CHF)",34.52,35.72,35.13,35.52
"日圓 (JPY)
                            

                                日圓 (JPY)",0.2015,0.2143,0.2083,0.2133
"南非幣 (ZAR)
                            

                                南非幣 (ZAR)",-,-,1.667,1.757
"瑞典幣 (SEK)
                            

                                瑞典幣 (SEK)",2.58,3.1,2.91,3.03
"紐元 (NZD)
                            

                                紐元 (NZD)",18.69,19.54,19.02,19.32
"泰幣 (THB)
                            

                                泰幣 (THB)",0.7558,0.9458,0.8652,0.9112
"菲國比索 (PHP)
                            

                                菲國比索 (PHP)",0.5045,0.6365,-,-
"印尼幣 (IDR)
                            

                                印尼幣 (IDR)",0.00168,0.00238,-,-
"歐元 (EUR)
                            

                                歐元 (EUR)",33.56,34.9,34.075,34.675
"韓元 (KRW)
                            

                                韓元 (KRW)",0.02165,0.02555,-,-
"越南盾 (VND)
                            

                                越南盾 (VND)",0.00105,0.00146,-,-
"馬來幣 (MYR)
                            

                                馬來幣 (MYR)",5.729,7.249,-,-
"人民幣 (CNY)
                            

                                人民幣 (CNY)",4.348,4.51,4.415,4.475
