Rank,Title,This week box,Total box
1,哥吉拉與金剛:新帝國 Godzilla x Kong: The New Empire,"$1,395","$1,934"
2,沙丘: 第二部 Dune: Part Two,$223,"$7,094"
3,破墓 Exhuma,$205,"$2,013"
4,名偵探柯南vs.怪盜基德 Detective Conan vs. Kid the Phantom Thief,$173,$173
5,青春18X2 通往有你的旅程 18×2 Beyond Youthful Days,$153,"$1,358"
6,超人力霸王布雷薩THE MOVIE: 大 Ultraman Blazar the Movie,$63,$63
7,再見機器人 Robot Dreams,$49,$522
8,可憐的東西 Poor Things,$45,"$2,425"
9,魔鬼剋星: 冰天凍地 Ghostbusters: Frozen Empire,$36,$197
10,我的完美日常 Perfect Days,$34,$412
11,鬼聖胎 Immaculate,$31,$128
12,鬼面女 Elite of Devils,$29,$29
13,極限長征 Arthur the King,$21,$177
14,伏慄熊 Imaginary,$20,$196
15,去唱卡拉OK吧! Let's Go Karaoke!,$17,$342
16,邪惡並不存在 Evil Does Not Exist,$14,$70
17,冰室蓮司: 日本統一 台灣篇 Rengi Himuro,$11,$11
18,BIG BIG,$11,"$1,370"
19,尋找湯德章 In Search of a Mixed Identity,$11,$63
20,看到靈魂的那隻眼 師公 THE EYE SEE THE SOUL,$10,$35
