Column1,Column2,Column3,Column4,Column5
title,authors,URL,publisher,publishedDate
Dancing with Python,Robert S. Sutor,https://www.googleapis.com/books/v1/volumes/FQlBEAAAQBAJ,Packt Publishing Ltd,2021-08-31
Python程式設計:從入門到進階應用,黃建庭,https://www.googleapis.com/books/v1/volumes/KuymEAAAQBAJ,全華圖書,2020-02-01
Python 3.9技術手冊(電子書),林信良,https://www.googleapis.com/books/v1/volumes/5yEZEAAAQBAJ,碁峰資訊股份有限公司,2020-12-25
資料處理：使用Python語言,林進益,https://www.googleapis.com/books/v1/volumes/ISNZEAAAQBAJ,五南圖書出版股份有限公司,2021-09-03
Python,Cyberpunk University,https://www.googleapis.com/books/v1/volumes/6yPonAAACAAJ,Createspace Independent Publishing Platform,2017-01-17
Python零基礎入門班(第四版)：一次打好程式設計、運算思維與邏輯訓練基本功(電子書),鄧君如 總監製/文淵閣工作室 編著,https://www.googleapis.com/books/v1/volumes/bczmEAAAQBAJ,碁峰資訊股份有限公司,2023-07-10
Python功力提升的樂趣｜寫出乾淨程式碼的最佳實務(電子書),Al Sweigart,https://www.googleapis.com/books/v1/volumes/8-E2EAAAQBAJ,碁峰資訊股份有限公司,2021-03-26
從零開始學Python程式設計(第三版修訂版)（適用Python 3.10以上）,李馨,https://www.googleapis.com/books/v1/volumes/2oDEEAAAQBAJ,博碩文化,2023-04-28
Python 3.7 技術手冊(電子書),林信良,https://www.googleapis.com/books/v1/volumes/FGZ-DwAAQBAJ,碁峰資訊股份有限公司,
人工智慧Python基礎課 - 用Python分析了解你的資料(電子書),陳會安,https://www.googleapis.com/books/v1/volumes/2ij-DwAAQBAJ,碁峰資訊股份有限公司,2020-08-24
人工智慧Python基礎課 - 用Python分析了解你的資料(電子書),陳會安,https://www.googleapis.com/books/v1/volumes/2ij-DwAAQBAJ,碁峰資訊股份有限公司,2020-08-24
MySQL for Python,Albert Lukaszewski,https://www.googleapis.com/books/v1/volumes/SWa1AAAAQBAJ,Packt Publishing Ltd,2010-09-21
少年Py的大冒險:成為Python數據分析達人的第一門課,蔡炎龍,https://www.googleapis.com/books/v1/volumes/Wu6mEAAAQBAJ,全華圖書,2020-07-01
Programming in Python 3,Mark Summerfield,https://www.googleapis.com/books/v1/volumes/H9emM_LGFDEC,Addison-Wesley Professional,2010
一邊解題一邊學｜Python初學者的練習本(電子書),???????,https://www.googleapis.com/books/v1/volumes/d-KREAAAQBAJ,碁峰資訊股份有限公司,2022-06-29
初學Python的第一本書,林志瑜,https://www.googleapis.com/books/v1/volumes/mrVCEAAAQBAJ,博碩,2021-07-31
用Python學程式設計運算思維-第二版(涵蓋ITS Python國際認證模擬試題)(電子書),李啟龍,https://www.googleapis.com/books/v1/volumes/hjSLEAAAQBAJ,碁峰資訊股份有限公司,2022-05-26
Python 自動化的樂趣｜搞定重複瑣碎&單調無聊的工作 第二版(電子書),Al Sweigart,https://www.googleapis.com/books/v1/volumes/4-E2EAAAQBAJ,碁峰資訊股份有限公司,2020-08-24
Python程式設計入門與應用：運算思維的提昇與修練,陳新豐,https://www.googleapis.com/books/v1/volumes/I2GZEAAAQBAJ,五南圖書出版股份有限公司,2022-07-01
Python+TensorFlow 2.x人工智慧、機器學習、大數據｜超炫專案與完全實戰(電子書),柯博文,https://www.googleapis.com/books/v1/volumes/B6UFEAAAQBAJ,碁峰資訊股份有限公司,2020-09-24
